@0	2314
@1	2610
@2	1c24
@3	1527
@4	2a00
@5	0523
@6	1f0c
@7	0a23
@8	230e
@9	1907
@a	2b07
@b	171c
@c	130a
@d	0c29
@e	032c
@f	1b0a
@10	2400
@11	2926
@12	2c04
@13	1d22
@14	1b2a
@15	051b
@16	1e14
@17	0b04
@18	1c11
@19	0f07
@1a	131f
@1b	1912
@1c	1e2c
@1d	131d
@1e	0025
@1f	0529
@20	1119
@21	1c12
@22	160f
@23	1b22
@24	2a04
@25	1b20
@26	2206
@27	1c11
@28	1819
@29	2102
@2a	2703
@2b	030f
@2c	171b
@2d	0200
@2e	0511
@2f	1421
@30	031b
@31	250f
@32	1501
@33	0f09
@34	270a
@35	0e2a
@36	0901
@37	211b
@38	0411
@39	2522
@3a	0100
@3b	020d
@3c	100e
@3d	1904
@3e	280f
@3f	1a07
@40	0a1b
@41	1213
@42	132b
@43	0129
@44	1827
@45	231b
@46	2a29
@47	0916
@48	081c
@49	0b21
@4a	0214
@4b	1e24
@4c	142a
@4d	0c19
@4e	1810
@4f	0428
@50	0407
@51	001f
@52	1a1a
@53	1419
@54	241d
@55	031f
@56	2508
@57	0301
@58	011a
@59	081e
@5a	2a29
@5b	292a
@5c	1811
@5d	0b0a
@5e	1a03
@5f	1900
@60	1b0e
@61	2326
@62	1511
@63	2a03
@64	191d
@65	280f
@66	0b05
@67	1826
@68	2429
@69	0714
@6a	210f
@6b	082b
@6c	1e03
@6d	0208
@6e	2409
@6f	1c21
@70	1407
@71	250f
@72	210e
@73	0625
@74	260a
@75	122b
@76	0515
@77	1f22
@78	0915
@79	190b
@7a	0c17
@7b	0b22
@7c	1629
@7d	240c
@7e	1414
@7f	1726
