@0	0014
@1	0000
@2	0005
@3	0000
@4	fffd
@5	ffff
@6	ffff
@7	ffff
@8	0003
@9	0000
@a	fff0
@b	ffff
@c	ffea
@d	ffff
@e	ffde
@f	ffff
@10	fff6
@11	ffff
@12	fff0
@13	ffff
@14	ffef
@15	ffff
@16	000c
@17	0000
@18	001d
@19	0000
@1a	0020
@1b	0000
@1c	0001
@1d	0000
@1e	fff7
@1f	ffff
@20	ffe5
@21	ffff
@22	ffe8
@23	ffff
@24	fffc
@25	ffff
@26	000c
@27	0000
@28	000d
@29	0000
@2a	0009
@2b	0000
@2c	0008
@2d	0000
@2e	fffd
@2f	ffff
@30	001e
@31	0000
@32	0022
@33	0000
@34	fff9
@35	ffff
@36	ffd5
@37	ffff
@38	000d
@39	0000
@3a	0006
@3b	0000
@3c	fffa
@3d	ffff
@3e	0002
@3f	0000
@40	0011
@41	0000
@42	0009
@43	0000
@44	fff7
@45	ffff
@46	0002
@47	0000
@48	001a
@49	0000
@4a	0003
@4b	0000
@4c	0003
@4d	0000
@4e	ffe2
@4f	ffff
@50	fff5
@51	ffff
@52	0009
@53	0000
@54	0019
@55	0000
@56	0006
@57	0000
@58	0008
@59	0000
@5a	0013
@5b	0000
@5c	ffee
@5d	ffff
@5e	ffeb
@5f	ffff
@60	fffc
@61	ffff
@62	000c
@63	0000
@64	fff4
@65	ffff
@66	ffe2
@67	ffff
@68	fff7
@69	ffff
@6a	0002
@6b	0000
@6c	001f
@6d	0000
@6e	0009
@6f	0000
@70	ffed
@71	ffff
@72	ffeb
@73	ffff
@74	0001
@75	0000
@76	0000
@77	0000
@78	0010
@79	0000
@7a	ffff
@7b	ffff
@7c	0013
@7d	0000
@7e	fff6
@7f	ffff
@80	fffe
@81	ffff
@82	fff5
@83	ffff
@84	ffef
@85	ffff
@86	ffee
@87	ffff
@88	fffe
@89	ffff
@8a	000c
@8b	0000
@8c	001e
@8d	0000
@8e	fff7
@8f	ffff
@90	fff5
@91	ffff
@92	fff1
@93	ffff
@94	fff0
@95	ffff
@96	0003
@97	0000
@98	0005
@99	0000
@9a	ffff
@9b	ffff
@9c	0006
@9d	0000
@9e	0005
@9f	0000
@a0	0012
@a1	0000
@a2	0006
@a3	0000
@a4	0011
@a5	0000
@a6	fffa
@a7	ffff
@a8	fffd
@a9	ffff
@aa	fff5
@ab	ffff
@ac	0003
@ad	0000
@ae	0006
@af	0000
@b0	fffc
@b1	ffff
@b2	fffd
@b3	ffff
@b4	fff7
@b5	ffff
@b6	ffe6
@b7	ffff
@b8	fffb
@b9	ffff
@ba	0014
@bb	0000
@bc	fff4
@bd	ffff
@be	fffe
@bf	ffff
@c0	fffd
@c1	ffff
@c2	ffd7
@c3	ffff
@c4	ffe5
@c5	ffff
@c6	fffc
@c7	ffff
@c8	0013
@c9	0000
@ca	0016
@cb	0000
@cc	001b
@cd	0000
@ce	0021
@cf	0000
@d0	fff9
@d1	ffff
@d2	0004
@d3	0000
@d4	fffe
@d5	ffff
@d6	fff1
@d7	ffff
@d8	0008
@d9	0000
@da	000e
@db	0000
@dc	0004
@dd	0000
@de	0010
@df	0000
@e0	0010
@e1	0000
@e2	0025
@e3	0000
@e4	fffb
@e5	ffff
@e6	ffeb
@e7	ffff
@e8	ffec
@e9	ffff
@ea	ffe6
@eb	ffff
@ec	fff5
@ed	ffff
@ee	001d
@ef	0000
@f0	fff9
@f1	ffff
@f2	000c
@f3	0000
@f4	0006
@f5	0000
@f6	ffe7
@f7	ffff
@f8	0000
@f9	0000
@fa	0018
@fb	0000
@fc	ffe7
@fd	ffff
@fe	fff5
@ff	ffff
@100	0001
@101	0000
@102	0013
@103	0000
@104	0004
@105	0000
@106	0014
@107	0000
@108	0004
@109	0000
@10a	fffe
@10b	ffff
@10c	ffe0
@10d	ffff
@10e	fff9
@10f	ffff
@110	fff2
@111	ffff
@112	000c
@113	0000
@114	0004
@115	0000
@116	fff9
@117	ffff
@118	fff4
@119	ffff
@11a	fff0
@11b	ffff
@11c	fff6
@11d	ffff
@11e	fffa
@11f	ffff
@120	ffec
@121	ffff
@122	fff4
@123	ffff
@124	fff1
@125	ffff
@126	001b
@127	0000
@128	0022
@129	0000
@12a	0025
@12b	0000
@12c	fff7
@12d	ffff
@12e	fff3
@12f	ffff
@130	fff2
@131	ffff
@132	fff3
@133	ffff
@134	0011
@135	0000
@136	0005
@137	0000
@138	fff3
@139	ffff
@13a	fff9
@13b	ffff
@13c	0002
@13d	0000
@13e	0005
@13f	0000
@140	fffd
@141	ffff
@142	000c
@143	0000
@144	ffed
@145	ffff
@146	ffe6
@147	ffff
@148	fff0
@149	ffff
@14a	000f
@14b	0000
@14c	0000
@14d	0000
@14e	000f
@14f	0000
@150	0006
@151	0000
@152	0018
@153	0000
@154	0017
@155	0000
@156	001d
@157	0000
@158	0011
@159	0000
@15a	ffed
@15b	ffff
@15c	ffdb
@15d	ffff
@15e	ffdf
@15f	ffff
@160	0004
@161	0000
@162	0019
@163	0000
@164	000a
@165	0000
@166	000a
@167	0000
@168	0021
@169	0000
@16a	fffa
@16b	ffff
@16c	ffe3
@16d	ffff
@16e	ffec
@16f	ffff
@170	fff4
@171	ffff
@172	ffef
@173	ffff
@174	fffa
@175	ffff
@176	0012
@177	0000
@178	0006
@179	0000
@17a	000b
@17b	0000
@17c	ffec
@17d	ffff
@17e	ffd9
@17f	ffff
@180	fff5
@181	ffff
@182	fff8
@183	ffff
@184	ffef
@185	ffff
@186	ffe3
@187	ffff
